사업자번호,법인명,성명,주소,당좌거래 정지일
418-81-*****,검창금속,,전북전주시덕진구신복천변1길,20180328
218-81-*****,광우티앤씨,,서울광진구아차산로,20160920
401-81-*****,대동이엔지,,전북군산시중가도길,20160825
402-81-*****,모석,,전북전주시덕진구삼례로,20180404
418-81-*****,미래씨엔씨,,전북전주시덕진구붓내3길,20161222
402-81-*****,부광건설,,전북익산시오산면무왕로,20180514
403-81-*****,상성개발,,전북정읍시산외면동곡1길,20170309
405-81-*****,석동건설,,전북익산시오산면선화2로,20180103
402-81-*****,세윤건설산업,,전북전주시덕진구초포다리로,20170725
407-81-*****,신세계개발,,전북순창군풍산면월파로,20170508
289-88-*****,신화상사,,전라북도익산시하나로,20180704
401-81-*****,씨에스창성산업,,전북군산시옥구읍광월안길,20161013
404-81-*****,에코시티디자인,,전북전주시완산구서곡1길,20170508
402-81-*****,오케이세라믹,,전북전주시덕진구원반월길,20170904
418-81-*****,우주산업개발,,전북완주군삼례읍삼례로,20180322
402-81-*****,일광,,전북익산시서동로,20170202
418-81-*****,일광산업사,,전북전주시덕진구권삼득로,20180704
418-81-*****,전광,,전북전주시덕진구쪽구름3길,20180514
403-81-*****,태신개발,,전북익산시낭산면남천로,20180322
616-81-*****,현대자동차운전학원,,제주제주시애월읍고성남길,20171102
301-82-*****,최헌식기념의료재단,,충북청주시흥덕구사직대로,20160809
409-81-*****,광명주택,,광주북구북문대로,20160803
609-81-*****,대현전기공사,,경남창원시의창구읍성로,20180604
140-81-*****,DR몰드,,경기화성시남양읍성주골길,20180327
124-88-*****,가인통상,,서울강서구곰달래로,20180514
214-86-*****,강남아톰문구센타,,서울강남구선릉로,20180530
126-81-*****,강덕상사,,경기파주시법원읍가좌울길,20170628
201-88-*****,강서식자재마트,,서울강서구강서로,20180611
504-81-*****,개풍스틸산업,,대구북구유통단지로,20170329
205-81-*****,거산오토,,서울성동구자동차시장1길,20170202
601-81-*****,거화테크,,부산동구중앙대로,20180718
134-81-*****,건우이앤씨,,경기부천시오정구오정로,20170508
603-81-*****,경민티앤엠,,부산사하구장평로,20180716
122-81-*****,경인,,인천부평구부개동,20170802
126-81-*****,경인산업개발,,경기광주시오포읍오포로,20170822
207-81-*****,고아라,,경기남양주시오남읍양지로,20180504
352-81-*****,골드금속,,경기화성시장안면포승장안로,20161202
113-81-*****,공화공구,,서울구로구구로중앙로,20180504
622-81-*****,광산,,부산강서구과학산단로,20180704
610-81-*****,광영이엔씨,,울산울주군청량면온산로,20170412
147-81-*****,광영이엔엠,,서울금천구서부샛길,20170412
605-81-*****,구룡건설,,부산부산진구가야대로,20170103
129-86-*****,구운미,,서울영등포구양산로,20170404
366-81-*****,국제수산,,서울송파구양재대로,20161110
