법인명,사업자번호,사업자번호(필터링X),기업고유번호
검창금속,418-81-*****,,
광우티앤씨,218-81-*****,218-81-18018,00573010
대동이엔지,401-81-*****,,
모석,402-81-*****,,
미래씨엔씨,418-81-*****,,
부광건설,402-81-*****,,
상성개발,403-81-*****,,
석동건설,405-81-*****,,
세윤건설산업,402-81-*****,,
신세계개발,407-81-*****,,
신화상사,289-88-*****,,
씨에스창성산업,401-81-*****,,
에코시티디자인,404-81-*****,,
오케이세라믹,402-81-*****,,
우주산업개발,418-81-*****,,
일광,402-81-*****,,
일광산업사,418-81-*****,,
전광,418-81-*****,,
태신개발,403-81-*****,,
현대자동차운전학원,616-81-*****,,
최헌식기념의료재단,301-82-*****,,
광명주택,409-81-*****,,
대현전기공사,609-81-*****,,
DR몰드,140-81-*****,,
가인통상,124-88-*****,,
강남아톰문구센타,214-86-*****,,
강덕상사,126-81-*****,,
강서식자재마트,201-88-*****,,
개풍스틸산업,504-81-*****,,
거산오토,205-81-*****,,
거화테크,601-81-*****,,
건우이앤씨,134-81-*****,,
경민티앤엠,603-81-*****,,
경인,122-81-*****,122-81-08354,00102052
경인산업개발,126-81-*****,126-81-27479,00591098
고아라,207-81-*****,,
골드금속,352-81-*****,,
공화공구,113-81-*****,,
광산,622-81-*****,,
광영이엔씨,610-81-*****,610-81-54049,00929422
광영이엔엠,147-81-*****,147-81-00462,01179255
구룡건설,605-81-*****,,
구운미,129-86-*****,,
국제수산,366-81-*****,,
그린기전,131-81-*****,131-81-54643,00876351
그린에프시,409-81-*****,,
그린월드,127-81-*****,,
극동건설,612-81-*****,,
극동이엔지,134-81-*****,134-81-61857,00962205
근원,304-81-*****,,
글로벌텍,513-81-*****,,
금광스틸,606-81-*****,,
금영테크,123-81-*****,,
금오하이텍,127-81-*****,127-81-71565,00659815
금우,609-81-*****,609-81-22509,00605461
금정수출포장,606-86-*****,,
금토일산업,505-81-*****,,
금화산업,110-86-*****,,
김포전력,136-81-*****,,
남도건영,108-81-*****,,
남양에스앤티,503-81-*****,503-81-28980,00619002
남인,613-81-*****,613-81-54179,00922340
남일기업,215-81-*****,,
남청,603-81-*****,603-81-19568,00107871
남하,613-81-*****,,
노블레스,515-81-*****,,
노블레스,402-81-*****,402-81-92855,01037816
노전,134-81-*****,134-81-52950,00517971
녹미,126-86-*****,,
누보산업,127-86-*****,,
뉴부산렌트카,604-81-*****,,
뉴티스,134-86-*****,134-86-76108,01084355
다래세라믹,211-81-*****,,
다물,571-86-*****,,
다성물산,121-81-*****,,
다솜주택,119-86-*****,,
다원피씨에스,123-86-*****,123-86-43209,01158085
다이나트론,129-81-*****,129-81-98236,01069480
대경산업,511-81-*****,,
대광자동차범퍼,204-81-*****,,
대교이엔지,607-86-*****,,
대구애니멀,501-81-*****,,
대금상사,204-86-*****,,
대남,505-81-*****,505-81-04096,00177065
대동밀레니엄,514-81-*****,514-81-35098,00833028
대라,314-81-*****,,
대림,307-81-*****,,
대림테크놀로지,605-81-*****,,
대림화학,613-81-*****,613-81-00810,00240024
